"success","trial_type","trial_index","time_elapsed","internal_node_id","time_done","rt","response","stimulus","slider_start","question_order","slider","radiob"
"true","fullscreen","0","1003","0.0-0.0","1649856605763","","","","","","",""
"","survey-html-form","1","8418","0.0-1.0","1649856605763","7413","{}","","","","",""
"","survey-html-form","2","9234","0.0-2.0","1649856605763","815","{}","","","","",""
"","survey-html-form","3","9875","0.0-3.0","1649856605763","639","{}","","","","",""
"true","fullscreen","4","10885","0.0-4.0","1649856605763","","","","","","",""
"","survey-html-form","5","13706","0.0-5.0","1649856605763","2816","{}","","","","",""
"","html-slider-response","6","16793","0.0-6.0","1649856605763","3083","38","<div style=""width:600px;""><p><strong>After each animation, you get two questions.<br>(1) Did you see a chase, or were the circles moving randomly?<br>Indicate your choice on the continuous bar below.</strong><br/><br/> Where you place the marker on the bar indicates both (i) <i>what</i> you see and (ii) <i>how confident</i> you feel about this. Few examples below: <br><img src=""expt_material/instructions/all.png"" width=""600""></p><p>Now try moving the cursor around on the bar.<br>Remember that you can use the <i>whole</i> bar.</p></div>","50","","",""
"","survey-multi-choice","7","18866","0.0-7.0","1649856605763","2069","{""Q0"":""(b) <img id=""}","","","[0]","",""
"","survey-html-form","8","19578","0.0-8.0","1649856605763","705","{}","","","","",""
"","video-keyboard-response","9","25786","0.0-9.0","1649856605763","null","null","[""demo_animations/demosubt0.webm""]","","","",""
"","survey-html-form","10","28054","0.0-10.0-0.0","1649856605763","","","","","","54","ID_grey"
"","survey-html-form","10","28054","0.0-10.0-0.0","1649856605763","","","","","","",""
"","survey-html-form","11","35058","0.0-11.0","1649856605763","7002","{}","","","","",""
"","video-keyboard-response","12","41262","0.0-12.0","1649856605763","null","null","[""main_animations/final_chase/chase_pred_subt0_Grey_Posx_350.webm""]","","","",""
"","survey-html-form","13","44316","0.0-13.0-0.0","1649856605763","","","","","","55","ID_grey"
"","survey-html-form","13","44317","0.0-13.0-0.0","1649856605763","","","","","","",""
"","survey-html-form","14","45767","0.0-14.0","1649856605763","1448","{""strategies"":""""}","","","","",""
"","survey-html-form","15","46195","0.0-15.0","1649856605763","426","{""feedback"":""""}","","","","",""
"","survey-multi-choice","16","47863","0.0-16.0","1649856605763","1666","{""gender"":"""",""hispanic"":""""}","","","[0,1]","",""
"","survey-multi-select","17","48460","0.0-17.0","1649856605763","584","{""race"":[]}","","","[0]","",""
"","survey-html-form","18","49361","0.0-18.0","1649856605763","898","{""age"":""""}","","","","",""
"","survey-html-form","19","49827","0.0-19.0","1649856605763","460","{""location"":""""}","","","","",""
"","html-keyboard-response","20","57623","0.0-20.0","1649856605763","7789"," ","Thank you for your participation!<br><strong> Press any key to submit your data (you are not done until you do and will not get paid) </strong>.<br> This will then take you back to the Prolific page.","","","",""
